participant,method,ease_of_use,intuitive,time_investment,effort,iterative_refinement,accuracy,educational_value,future_use,task_completion_time
t01,ChatGPT,4,2,7,7,1,1,1,1,266.799
t02,ChatGPT,2,1,7,7,1,1,1,1,400.640
t03,ChatGPT,1,1,7,7,1,1,1,1,285.280
t04,ChatGPT,1,1,7,7,3,2,1,1,148.560
t05,ChatGPT,6,6,4,2,1,1,1,1,257.560
t06,ChatGPT,4,3,6,6,2,1,2,1,305.641
t07,ChatGPT,6,3,7,7,2,2,1,2,522.020					 					
t01,Math2Visual,5,5,4,2,4,5,5,5,358.240
t02,Math2Visual,5,3,6,6,2,3,4,4,374.399
t03,Math2Visual,7,7,1,1,7,7,7,7,102.480
t04,Math2Visual,5,5,2,3,5,5,6,5,261.279
t05,Math2Visual,6,4,4,1,2,5,5,4,366.561
t06,Math2Visual,7,6,1,1,7,7,7,6,305.520
t07,Math2Visual,7,7,1,1,7,7,7,7,86.841									
t01,Custom,7,5,1,1,4,4,5,5,13.360
t02,Custom,6,7,1,5,6,6,6,7,165.121
t03,Custom,5,6,4,5,3,3,4,5,48.879
t04,Custom,5,5,5,5,4,5,6,7,145.120
t05,Custom,6,4,3,4,7,7,7,7,444.800
t06,Custom,6,4,5,4,5,6,4,5,155.531
t07,Custom,7,6,5,1,7,7,7,6,52.161										
